discriminator,schema_version,lane_id,source_experiment,condition_id,condition_class,transform_id,seed,event_kinds,refinement_event_count,completed_event_count,module_node_ids,child_node_id,window_steps,min_basin_mass_threshold,observed_window_rows,child_present_all_window,child_sink_all_window,min_child_basin_mass_observed,max_child_basin_mass_observed,child_parent_ids,child_depths,persistence_pass_configured,event_outcome_class,accepted_identity_emergence,multi_child_count_for_event,multi_child_fission_flag,mechanical_refinement_claim,mechanical_refinement_alone_identity_claim,identity_claim_level,budget_before,budget_after,budget_error,budget_tolerance,budget_preserved,evidence_label,artifact_sources,notes
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,identity,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,identity,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,5.0,5.000000000004349,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,identity,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,row_permutation_231,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,row_permutation_231,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,5.0,5.000000000004349,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,row_permutation_231,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,column_permutation_312,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,column_permutation_312,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,5.0,5.000000000004349,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,column_permutation_312,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,row_column_transpose,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,row_column_transpose,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,5.0,5.000000000004349,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,row_column_transpose,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,degree_preserving_random_relabel,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,degree_preserving_random_relabel,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,5.0,5.000000000004349,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_equal_transfer_refinement,uniform_state_transfer,degree_preserving_random_relabel,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,5.999999999998,6.0,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,identity,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,10.200000000000001,10.2000000000043,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,identity,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,2.8999999999996247,2.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,identity,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,3.89999999999674,3.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,row_permutation_231,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,10.200000000000001,10.2000000000043,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,row_permutation_231,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,2.8999999999996247,2.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,row_permutation_231,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,3.89999999999674,3.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,column_permutation_312,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,10.200000000000001,10.2000000000043,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,column_permutation_312,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,2.8999999999996247,2.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,column_permutation_312,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,3.89999999999674,3.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,row_column_transpose,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,10.200000000000001,10.2000000000043,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,row_column_transpose,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,2.8999999999996247,2.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,row_column_transpose,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,413,3,1.0,4,True,True,3.89999999999674,3.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,411,3,1.0,4,True,True,10.200000000000001,10.2000000000043,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,hybrid_spark_candidate;hybrid_mechanical_expansion;hybrid_spark_completed,1,1,410 411 412 413 414,412,3,1.0,4,True,True,2.8999999999996247,2.900000000000001,root,1,True,persistent_child_identity,True,3,True,supported,False,configured_window_persistent_child_identity,18.0,18.0,0.0,1e-12,True,partial,Experiment D expansion event rows; runtime-state post-event sink/basin persistence rows,"Accepted only because persistent sink/basin support, lineage, and budget evidence are present over the configured runtime-state window."
