discriminator,schema_version,lane_id,control_id,condition_id,condition_class,transform_id,seed,refinement_event_count,completed_event_count,child_node_id,window_steps,min_basin_mass,persistence_pass,identity_accepted,event_outcome_class,evidence_label,notes
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,no_refinement_no_identity,d_degree_8_no_refinement_control,same_instability_without_refinement,identity,0,0,0,,3,1.0,False,False,blocked,direct,No refinement event and no persistent child sink/basin support; identity emergence is rejected.
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,no_refinement_no_identity,d_degree_8_no_refinement_control,same_instability_without_refinement,row_permutation_231,0,0,0,,3,1.0,False,False,blocked,direct,No refinement event and no persistent child sink/basin support; identity emergence is rejected.
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,no_refinement_no_identity,d_degree_8_no_refinement_control,same_instability_without_refinement,column_permutation_312,0,0,0,,3,1.0,False,False,blocked,direct,No refinement event and no persistent child sink/basin support; identity emergence is rejected.
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,no_refinement_no_identity,d_degree_8_no_refinement_control,same_instability_without_refinement,row_column_transpose,0,0,0,,3,1.0,False,False,blocked,direct,No refinement event and no persistent child sink/basin support; identity emergence is rejected.
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,no_refinement_no_identity,d_degree_8_no_refinement_control,same_instability_without_refinement,degree_preserving_random_relabel,0,0,0,,3,1.0,False,False,blocked,direct,No refinement event and no persistent child sink/basin support; identity emergence is rejected.
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,identity,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,identity,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,row_permutation_231,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,row_permutation_231,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,column_permutation_312,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,column_permutation_312,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,row_column_transpose,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,row_column_transpose,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_1_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,identity,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,identity,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,row_permutation_231,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,row_permutation_231,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,column_permutation_312,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,column_permutation_312,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,row_column_transpose,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,row_column_transpose,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_2_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,1,1,413,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,identity,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,identity,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,row_permutation_231,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,row_permutation_231,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,column_permutation_312,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,column_permutation_312,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,row_column_transpose,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,row_column_transpose,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,1,1,411,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
d8_identity_emergence,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,threshold_sensitivity_rejects_child,d_column_3_skewed_transfer,column_skewed_transfer,degree_preserving_random_relabel,0,1,1,412,3,5.0,False,False,transient_child_candidate,partial,"Configured window may pass at lower threshold, but this strict sensitivity point rejects the child identity claim."
