experiment,schema_version,lane_id,seed,source_fixture_id,fixture_id,transform_id,expected_dominant_row,dominant_response_row,dominant_row_matches_expected,response_dominance_ratio,response_row_1,response_row_2,response_row_3,gradient_abs_row_1,gradient_abs_row_2,gradient_abs_row_3,row_mismatch_row_1,row_mismatch_row_2,row_mismatch_row_3,signed_hessian_abs_row_1,signed_hessian_abs_row_2,signed_hessian_abs_row_3,net_flux_abs_row_1,net_flux_abs_row_2,net_flux_abs_row_3,tensor_diag_row_1,tensor_diag_row_2,tensor_diag_row_3,isotropic_base,anisotropic_span,isotropic_dominance_ratio,isotropic_terms_dominate_or_mute,energy_total,active_degree,artifact_sources
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_1_stress_seed_0,a_row_1_stress_seed_0,identity,1,1,True,0.6406992361759353,0.895654332609876,0.2511391208687917,0.2511391208687917,0.30000000000000004,0.0,0.0,0.07140886055095248,0.0,0.0,0.30000000000000004,0.0,0.0,0.22424547205892348,0.2511391208687917,0.2511391208687917,1.1487110815661392,1.0773022210151868,1.0773022210151868,1.0773022210151868,0.07140886055095241,15.08639421919495,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_1_stress_seed_0,a_row_1_stress_seed_0__row_permutation_231,row_permutation_231,2,2,True,0.6202275769057038,0.2747899676869662,0.8975497190019295,0.2747899676869662,0.0,0.3000000000000001,0.0,0.0,0.07813373884354369,0.0,0.0,0.3000000000000001,0.0,0.2747899676869662,0.2194159801583856,0.2747899676869662,1.1090082373235735,1.1871419761671174,1.1090082373235735,1.1090082373235735,0.07813373884354391,14.193717768252036,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_1_stress_seed_0,a_row_1_stress_seed_0__column_permutation_312,column_permutation_312,1,1,True,0.6406992361759353,0.895654332609876,0.2511391208687917,0.2511391208687917,0.30000000000000004,0.0,0.0,0.07140886055095248,0.0,0.0,0.30000000000000004,0.0,0.0,0.22424547205892348,0.2511391208687917,0.2511391208687917,1.1487110815661392,1.0773022210151868,1.0773022210151868,1.0773022210151868,0.07140886055095241,15.08639421919495,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_1_stress_seed_0,a_row_1_stress_seed_0__row_column_transpose,row_column_transpose,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_1_stress_seed_0,a_row_1_stress_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,,2,False,0.4401483061909988,0.28600435900857263,0.47611108834805,0.3195906086504302,0.0,0.1866071439189282,0.08744769967745908,0.0,0.053141430046322574,0.026570715023161287,0.0,0.1866071439189282,0.08744769967745908,0.28600435900857263,0.04975537046387109,0.11812449427235076,1.1255805653238877,1.1787219953702104,1.152151280347049,1.1255805653238877,0.05314143004632266,21.180848244820183,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_2_stress_seed_0,a_row_2_stress_seed_0,identity,2,2,True,0.6202275769057038,0.2747899676869662,0.8975497190019295,0.2747899676869662,0.0,0.3000000000000001,0.0,0.0,0.07813373884354369,0.0,0.0,0.3000000000000001,0.0,0.2747899676869662,0.2194159801583856,0.2747899676869662,1.1090082373235735,1.1871419761671174,1.1090082373235735,1.1090082373235735,0.07813373884354391,14.193717768252036,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_2_stress_seed_0,a_row_2_stress_seed_0__row_permutation_231,row_permutation_231,3,3,True,0.6202275769057038,0.2747899676869662,0.2747899676869662,0.8975497190019295,0.0,0.0,0.3000000000000001,0.0,0.0,0.07813373884354369,0.0,0.0,0.3000000000000001,0.2747899676869662,0.2747899676869662,0.2194159801583856,1.1090082373235735,1.1090082373235735,1.1871419761671174,1.1090082373235735,0.07813373884354391,14.193717768252036,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_2_stress_seed_0,a_row_2_stress_seed_0__column_permutation_312,column_permutation_312,2,2,True,0.6202275769057038,0.2747899676869662,0.8975497190019295,0.2747899676869662,0.0,0.3000000000000001,0.0,0.0,0.07813373884354369,0.0,0.0,0.3000000000000001,0.0,0.2747899676869662,0.2194159801583856,0.2747899676869662,1.1090082373235735,1.1871419761671174,1.1090082373235735,1.1090082373235735,0.07813373884354391,14.193717768252036,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_2_stress_seed_0,a_row_2_stress_seed_0__row_column_transpose,row_column_transpose,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_2_stress_seed_0,a_row_2_stress_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,,1,False,0.45465263823821006,0.4730676484827171,0.2693487617647705,0.29808706140477337,0.18234523575474276,0.0,0.08377727746371447,0.05004671408157496,0.0,0.02502335704078748,0.18234523575474276,0.0,0.08377727746371447,0.058330462891656595,0.2693487617647705,0.10550914943655695,1.1502363396150064,1.1001896255334314,1.1252129825742188,1.1001896255334314,0.05004671408157502,21.98325396029292,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_3_stress_seed_0,a_row_3_stress_seed_0,identity,3,3,True,0.6202275769057038,0.2747899676869662,0.2747899676869662,0.8975497190019295,0.0,0.0,0.3000000000000001,0.0,0.0,0.07813373884354369,0.0,0.0,0.3000000000000001,0.2747899676869662,0.2747899676869662,0.2194159801583856,1.1090082373235735,1.1090082373235735,1.1871419761671174,1.1090082373235735,0.07813373884354391,14.193717768252036,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_3_stress_seed_0,a_row_3_stress_seed_0__row_permutation_231,row_permutation_231,1,1,True,0.6406992361759353,0.895654332609876,0.2511391208687917,0.2511391208687917,0.30000000000000004,0.0,0.0,0.07140886055095248,0.0,0.0,0.30000000000000004,0.0,0.0,0.22424547205892348,0.2511391208687917,0.2511391208687917,1.1487110815661392,1.0773022210151868,1.0773022210151868,1.0773022210151868,0.07140886055095241,15.08639421919495,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_3_stress_seed_0,a_row_3_stress_seed_0__column_permutation_312,column_permutation_312,3,3,True,0.6202275769057038,0.2747899676869662,0.2747899676869662,0.8975497190019295,0.0,0.0,0.3000000000000001,0.0,0.0,0.07813373884354369,0.0,0.0,0.3000000000000001,0.2747899676869662,0.2747899676869662,0.2194159801583856,1.1090082373235735,1.1090082373235735,1.1871419761671174,1.1090082373235735,0.07813373884354391,14.193717768252036,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_3_stress_seed_0,a_row_3_stress_seed_0__row_column_transpose,row_column_transpose,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_row_3_stress_seed_0,a_row_3_stress_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_balanced_diagonal_seed_0,a_balanced_diagonal_seed_0,identity,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_balanced_diagonal_seed_0,a_balanced_diagonal_seed_0__row_permutation_231,row_permutation_231,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_balanced_diagonal_seed_0,a_balanced_diagonal_seed_0__column_permutation_312,column_permutation_312,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_balanced_diagonal_seed_0,a_balanced_diagonal_seed_0__row_column_transpose,row_column_transpose,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
experiment_a_row_mode_stress,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,a_balanced_diagonal_seed_0,a_balanced_diagonal_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,,,False,0.33333333333333337,0.3128796399280082,0.3128796399280082,0.3128796399280082,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.026044579614514562,0.026044579614514562,0.026044579614514562,0.08560067082048618,0.08560067082048618,0.08560067082048618,0.11563371867252127,0.11563371867252127,0.11563371867252127,1.1463849916608366,1.1463849916608366,1.1463849916608366,1.1463849916608366,0.0,inf,True,0.27,9,"GRC9V3State.nodes, cached_quantities.row_mismatch_sums, cached_quantities.hybrid_node_tensors, PortEdge flux"
